Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HG1,NO,03/01/2017 15:30,13.70000,ug m-3,R
HG1,NO,03/01/2017 15:45,13.70000,ug m-3,R
HG1,NO,03/01/2017 16:00,16.10000,ug m-3,R
HG1,NO,03/01/2017 16:15,16.10000,ug m-3,R
HG1,NO,03/01/2017 16:30,16.10000,ug m-3,R
HG1,NO,03/01/2017 16:45,16.10000,ug m-3,R
HG1,NO,03/01/2017 17:00,27.90000,ug m-3,R
HG1,NO,03/01/2017 17:15,27.90000,ug m-3,R
HG1,NO,03/01/2017 17:30,27.90000,ug m-3,R
HG1,NO,03/01/2017 17:45,27.90000,ug m-3,R
HG1,NO,03/01/2017 18:00,33.40000,ug m-3,R
HG1,NO,03/01/2017 18:15,33.40000,ug m-3,R
HG1,NO,03/01/2017 18:30,33.40000,ug m-3,R
HG1,NO,03/01/2017 18:45,33.40000,ug m-3,R
HG1,NO,03/01/2017 19:00,27.40000,ug m-3,R
HG1,NO,03/01/2017 19:15,27.40000,ug m-3,R
HG1,NO,03/01/2017 19:30,27.40000,ug m-3,R
HG1,NO,03/01/2017 19:45,27.40000,ug m-3,R
HG1,NO,03/01/2017 20:00,25.00000,ug m-3,R
HG1,NO,03/01/2017 20:15,25.00000,ug m-3,R
HG1,NO,03/01/2017 20:30,25.00000,ug m-3,R
HG1,NO,03/01/2017 20:45,25.00000,ug m-3,R
HG1,NO,03/01/2017 21:00,9.90000,ug m-3,R
HG1,NO,03/01/2017 21:15,9.90000,ug m-3,R
HG1,NO,03/01/2017 21:30,9.90000,ug m-3,R
HG1,NO,03/01/2017 21:45,9.90000,ug m-3,R
HG1,NO,03/01/2017 22:00,7.50000,ug m-3,R
HG1,NO,03/01/2017 22:15,7.50000,ug m-3,R
HG1,NO,03/01/2017 22:30,7.50000,ug m-3,R
HG1,NO,03/01/2017 22:45,7.50000,ug m-3,R
HG1,NO,03/01/2017 23:00,7.40000,ug m-3,R
HG1,NO,03/01/2017 23:15,7.40000,ug m-3,R
HG1,NO,03/01/2017 23:30,7.40000,ug m-3,R
HG1,NO,03/01/2017 23:45,7.40000,ug m-3,R
HG1,NO,04/01/2017 00:00,11.00000,ug m-3,R
HG1,NO,04/01/2017 00:15,11.00000,ug m-3,R
HG1,NO,04/01/2017 00:30,11.00000,ug m-3,R
HG1,NO,04/01/2017 00:45,11.00000,ug m-3,R
HG1,NO,04/01/2017 01:00,7.90000,ug m-3,R
HG1,NO,04/01/2017 01:15,7.90000,ug m-3,R
HG1,NO,04/01/2017 01:30,7.90000,ug m-3,R
HG1,NO,04/01/2017 01:45,7.90000,ug m-3,R
HG1,NO,04/01/2017 02:00,4.80000,ug m-3,R
HG1,NO,04/01/2017 02:15,4.80000,ug m-3,R
HG1,NO,04/01/2017 02:30,4.80000,ug m-3,R
HG1,NO,04/01/2017 02:45,4.80000,ug m-3,R
HG1,NO,04/01/2017 03:00,3.70000,ug m-3,R
HG1,NO,04/01/2017 03:15,3.70000,ug m-3,R
HG1,NO,04/01/2017 03:30,3.70000,ug m-3,R
HG1,NO,04/01/2017 03:45,3.70000,ug m-3,R
HG1,NO,04/01/2017 04:00,3.00000,ug m-3,R
HG1,NO,04/01/2017 04:15,3.00000,ug m-3,R
HG1,NO,04/01/2017 04:30,3.00000,ug m-3,R
HG1,NO,04/01/2017 04:45,3.00000,ug m-3,R
HG1,NO,04/01/2017 05:00,3.80000,ug m-3,R
HG1,NO,04/01/2017 05:15,3.80000,ug m-3,R
HG1,NO,04/01/2017 05:30,3.80000,ug m-3,R
HG1,NO,04/01/2017 05:45,3.80000,ug m-3,R
HG1,NO,04/01/2017 06:00,4.60000,ug m-3,R
HG1,NO,04/01/2017 06:15,4.60000,ug m-3,R
HG1,NO,04/01/2017 06:30,4.60000,ug m-3,R
HG1,NO,04/01/2017 06:45,4.60000,ug m-3,R
HG1,NO,04/01/2017 07:00,7.10000,ug m-3,R
HG1,NO,04/01/2017 07:15,7.10000,ug m-3,R
HG1,NO,04/01/2017 07:30,7.10000,ug m-3,R
HG1,NO,04/01/2017 07:45,7.10000,ug m-3,R
HG1,NO,04/01/2017 08:00,11.90000,ug m-3,R
HG1,NO,04/01/2017 08:15,11.90000,ug m-3,R
HG1,NO,04/01/2017 08:30,11.90000,ug m-3,R
HG1,NO,04/01/2017 08:45,11.90000,ug m-3,R
HG1,NO,04/01/2017 09:00,15.30000,ug m-3,R
HG1,NO,04/01/2017 09:15,15.30000,ug m-3,R
HG1,NO,04/01/2017 09:30,15.30000,ug m-3,R
HG1,NO,04/01/2017 09:45,15.30000,ug m-3,R
HG1,NO,04/01/2017 10:00,14.80000,ug m-3,R
HG1,NO,04/01/2017 10:15,14.80000,ug m-3,R
HG1,NO,04/01/2017 10:30,14.80000,ug m-3,R
HG1,NO,04/01/2017 10:45,14.80000,ug m-3,R
HG1,NO,04/01/2017 11:00,20.00000,ug m-3,R
HG1,NO,04/01/2017 11:15,20.00000,ug m-3,R
HG1,NO,04/01/2017 11:30,20.00000,ug m-3,R
HG1,NO,04/01/2017 11:45,20.00000,ug m-3,R
HG1,NO,04/01/2017 12:00,19.90000,ug m-3,R
HG1,NO,04/01/2017 12:15,19.90000,ug m-3,R
HG1,NO,04/01/2017 12:30,19.90000,ug m-3,R
HG1,NO,04/01/2017 12:45,19.90000,ug m-3,R
HG1,NO,04/01/2017 13:00,19.30000,ug m-3,R
HG1,NO,04/01/2017 13:15,19.30000,ug m-3,R
HG1,NO,04/01/2017 13:30,19.30000,ug m-3,R
HG1,NO,04/01/2017 13:45,19.30000,ug m-3,R
HG1,NO,04/01/2017 14:00,19.60000,ug m-3,R
HG1,NO,04/01/2017 14:15,19.60000,ug m-3,R
HG1,NO,04/01/2017 14:30,19.60000,ug m-3,R
HG1,NO,04/01/2017 14:45,19.60000,ug m-3,R
HG1,NO,04/01/2017 15:00,25.80000,ug m-3,R
HG1,NO,04/01/2017 15:15,25.80000,ug m-3,R
HG1,NO,04/01/2017 15:30,25.80000,ug m-3,R
HG1,NO,04/01/2017 15:45,25.80000,ug m-3,R
HG1,NO,04/01/2017 16:00,25.60000,ug m-3,R
HG1,NO,04/01/2017 16:15,25.60000,ug m-3,R
HG1,NO,04/01/2017 16:30,25.60000,ug m-3,R
HG1,NO,04/01/2017 16:45,25.60000,ug m-3,R
HG1,NO,04/01/2017 17:00,25.70000,ug m-3,R
HG1,NO,04/01/2017 17:15,25.70000,ug m-3,R
HG1,NO,04/01/2017 17:30,25.70000,ug m-3,R
HG1,NO,04/01/2017 17:45,25.70000,ug m-3,R
HG1,NO,04/01/2017 18:00,20.00000,ug m-3,R
HG1,NO,04/01/2017 18:15,20.00000,ug m-3,R
HG1,NO,04/01/2017 18:30,20.00000,ug m-3,R
HG1,NO,04/01/2017 18:45,20.00000,ug m-3,R
HG1,NO,04/01/2017 19:00,40.10000,ug m-3,R
HG1,NO,04/01/2017 19:15,40.10000,ug m-3,R
HG1,NO,04/01/2017 19:30,40.10000,ug m-3,R
HG1,NO,04/01/2017 19:45,40.10000,ug m-3,R
HG1,NO,04/01/2017 20:00,39.70000,ug m-3,R
HG1,NO,04/01/2017 20:15,39.70000,ug m-3,R
HG1,NO,04/01/2017 20:30,39.70000,ug m-3,R
HG1,NO,04/01/2017 20:45,39.70000,ug m-3,R
HG1,NO,04/01/2017 21:00,30.80000,ug m-3,R
HG1,NO,04/01/2017 21:15,30.80000,ug m-3,R
HG1,NO,04/01/2017 21:30,30.80000,ug m-3,R
HG1,NO,04/01/2017 21:45,30.80000,ug m-3,R
HG1,NO,04/01/2017 22:00,49.60000,ug m-3,R
HG1,NO,04/01/2017 22:15,49.60000,ug m-3,R
HG1,NO,04/01/2017 22:30,49.60000,ug m-3,R
HG1,NO,04/01/2017 22:45,49.60000,ug m-3,R
HG1,NO,04/01/2017 23:00,17.50000,ug m-3,R
HG1,NO,04/01/2017 23:15,17.50000,ug m-3,R
HG1,NO,04/01/2017 23:30,17.50000,ug m-3,R
HG1,NO,04/01/2017 23:45,17.50000,ug m-3,R
HG1,NO,05/01/2017 00:00,11.10000,ug m-3,R
HG1,NO,05/01/2017 00:15,11.10000,ug m-3,R
HG1,NO,05/01/2017 00:30,11.10000,ug m-3,R
HG1,NO,05/01/2017 00:45,11.10000,ug m-3,R
HG1,NO,05/01/2017 01:00,5.40000,ug m-3,R
HG1,NO,05/01/2017 01:15,5.40000,ug m-3,R
HG1,NO,05/01/2017 01:30,5.40000,ug m-3,R
HG1,NO,05/01/2017 01:45,5.40000,ug m-3,R
HG1,NO,05/01/2017 02:00,3.30000,ug m-3,R
HG1,NO,05/01/2017 02:15,3.30000,ug m-3,R
HG1,NO,05/01/2017 02:30,3.30000,ug m-3,R
HG1,NO,05/01/2017 02:45,3.30000,ug m-3,R
HG1,NO,05/01/2017 03:00,3.30000,ug m-3,R
HG1,NO,05/01/2017 03:15,3.30000,ug m-3,R
HG1,NO,05/01/2017 03:30,3.30000,ug m-3,R
HG1,NO,05/01/2017 03:45,3.30000,ug m-3,R
HG1,NO,05/01/2017 04:00,6.10000,ug m-3,R
HG1,NO,05/01/2017 04:15,6.10000,ug m-3,R
HG1,NO,05/01/2017 04:30,6.10000,ug m-3,R
HG1,NO,05/01/2017 04:45,6.10000,ug m-3,R
HG1,NO,05/01/2017 05:00,10.40000,ug m-3,R
HG1,NO,05/01/2017 05:15,10.40000,ug m-3,R
HG1,NO,05/01/2017 05:30,10.40000,ug m-3,R
HG1,NO,05/01/2017 05:45,10.40000,ug m-3,R
HG1,NO,05/01/2017 06:00,29.20000,ug m-3,R
HG1,NO,05/01/2017 06:15,29.20000,ug m-3,R
HG1,NO,05/01/2017 06:30,29.20000,ug m-3,R
HG1,NO,05/01/2017 06:45,29.20000,ug m-3,R
HG1,NO,05/01/2017 07:00,64.00000,ug m-3,R
HG1,NO,05/01/2017 07:15,64.00000,ug m-3,R
HG1,NO,05/01/2017 07:30,64.00000,ug m-3,R
HG1,NO,05/01/2017 07:45,64.00000,ug m-3,R
HG1,NO,05/01/2017 08:00,77.90000,ug m-3,R
HG1,NO,05/01/2017 08:15,77.90000,ug m-3,R
HG1,NO,05/01/2017 08:30,77.90000,ug m-3,R
HG1,NO,05/01/2017 08:45,77.90000,ug m-3,R
HG1,NO,05/01/2017 09:00,74.90000,ug m-3,R
HG1,NO,05/01/2017 09:15,74.90000,ug m-3,R
HG1,NO,05/01/2017 09:30,74.90000,ug m-3,R
HG1,NO,05/01/2017 09:45,74.90000,ug m-3,R
HG1,NO,05/01/2017 10:00,48.20000,ug m-3,R
HG1,NO,05/01/2017 10:15,48.20000,ug m-3,R
HG1,NO,05/01/2017 10:30,48.20000,ug m-3,R
HG1,NO,05/01/2017 10:45,48.20000,ug m-3,R
HG1,NO,05/01/2017 11:00,71.60000,ug m-3,R
HG1,NO,05/01/2017 11:15,71.60000,ug m-3,R
HG1,NO,05/01/2017 11:30,71.60000,ug m-3,R
HG1,NO,05/01/2017 11:45,71.60000,ug m-3,R
HG1,NO,05/01/2017 12:00,39.10000,ug m-3,R
HG1,NO,05/01/2017 12:15,39.10000,ug m-3,R
HG1,NO,05/01/2017 12:30,39.10000,ug m-3,R
HG1,NO,05/01/2017 12:45,39.10000,ug m-3,R
HG1,NO,05/01/2017 13:00,65.40000,ug m-3,R
HG1,NO,05/01/2017 13:15,65.40000,ug m-3,R
HG1,NO,05/01/2017 13:30,65.40000,ug m-3,R
HG1,NO,05/01/2017 13:45,65.40000,ug m-3,R
HG1,NO,05/01/2017 14:00,62.50000,ug m-3,R
HG1,NO,05/01/2017 14:15,62.50000,ug m-3,R
HG1,NO,05/01/2017 14:30,62.50000,ug m-3,R
HG1,NO,05/01/2017 14:45,62.50000,ug m-3,R
HG1,NO,05/01/2017 15:00,84.50000,ug m-3,R
HG1,NO,05/01/2017 15:15,84.50000,ug m-3,R
HG1,NO,05/01/2017 15:30,84.50000,ug m-3,R
HG1,NO,05/01/2017 15:45,84.50000,ug m-3,R
