,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
5339,Address: 3027 Rivera Street,San FranciscoSales price: 720000Sales date: 02/02/2015Bedrooms: 0Square feet: 1228Lot size: 1873,3027 Rivera St,1,3,1228,02/02/2015,720000,37.745554,-122.49893,Outer Parkside,5,SingleFamily,1947,935736,982900,94116,15118819
5341,Address: 283 Surrey Street,San FranciscoSales price: 1500000Sales date: 02/02/2015Bedrooms: 0Square feet: 1019Lot size: 3393,283 Surrey St,1,3,1019,02/02/2015,1500000,37.735598,-122.436521,Glen Park,5,SingleFamily,1955,1668129,1628900,94131,15185200
5342,Address: 601 Van Ness Avenue #521,San FranciscoSales price: 571000Sales date: 01/30/2015Bedrooms: 1Square feet: 724Lot size: 105806,601 Van Ness Ave APT 521,1,1,724,01/30/2015,571000,37.781386,-122.421406,Van Ness - Civic Center,3,Condominium,1982,620621,839200,94102,15077677
5343,Address: 601 Van Ness Avenue #905,San FranciscoSales price: 901000Sales date: 01/30/2015Bedrooms: 2Square feet: 882Lot size: 105806,601 Van Ness Ave APT 905,2,2,882,01/30/2015,901000,37.781386,-122.421406,Van Ness - Civic Center,4,Condominium,1982,831015,839200,94102,15077879
5345,Address: 1 Bluxome Street #401,San FranciscoSales price: 925000Sales date: 01/30/2015Bedrooms: 1Square feet: 912Lot size: 22427,1 Bluxome St APT 401,1.5,1,912,01/30/2015,925000,37.777235,-122.395585,South of Market,2,Condominium,2003,1000556,957300,94107,67394519
5346,Address: 45 Dolores Terrace,San FranciscoSales price: 905000Sales date: 01/30/2015Bedrooms: 1Square feet: 760Lot size: 1600,45 Dolores Ter,1,1,760,01/30/2015,905000,37.762554,-122.425445,Mission,3,Condominium,1939,870565,1167700,94110,89239280
5348,Address: 5853 Mission Street #4,San FranciscoSales price: 350000Sales date: 01/30/2015Bedrooms: 1Square feet: 780Lot size: 9825,5853 Mission St APT 4,1,2,780,01/30/2015,350000,37.70881,-122.451423,Crocker Amazon,5,Condominium,1980,560744,817600,94112,15178879
5349,Address: 542 Munich Street,San FranciscoSales price: 540000Sales date: 01/30/2015Bedrooms: 1Square feet: 756Lot size: 2600,542 Munich St,1,2,1000,01/30/2015,540000,37.717199,-122.429951,Excelsior,5,SingleFamily,1900,593247,757400,94112,15174917
5350,Address: 157 Thrift Street,San FranciscoSales price: 730000Sales date: 01/30/2015Bedrooms: 3Square feet: 1124Lot size: 3123,157 Thrift St,2,3,1124,01/30/2015,730000,37.717215,-122.457884,Oceanview,5,SingleFamily,1964,703895,752700,94112,15192411
5354,Address: 95 Bridgeview Drive,San FranciscoSales price: 681000Sales date: 01/30/2015Bedrooms: 0Square feet: 1306Lot size: 2909,95 Bridgeview Dr,2,3,1300,01/30/2015,681000,37.734681,-122.395635,Silver Terrace,6,SingleFamily,1945,829452,720300,94124,15157073
5355,Address: 3981 Alemany Boulevard #203,San FranciscoSales price: 479500Sales date: 01/30/2015Bedrooms: 1Square feet: 670Lot size: 325629,3981 Alemany Blvd APT 203,1,1,670,01/30/2015,479500,37.71048,-122.467645,Ingleside Heights,3,Condominium,2002,561102,688100,94132,67395118
5368,Address: 1645 Pacific Avenue #3A,San FranciscoSales price: 315500Sales date: 01/30/2015Bedrooms: 0Square feet: 0Lot size: 0,1645 Pacific Ave APT 3A,2,2,1003,01/30/2015,315500,37.794658,-122.422325,Nob Hill,5,Condominium,2014,1354087,1440700,94109,123175002
5374,Address: 1501 Filbert Street #5C,San FranciscoSales price: 1600000Sales date: 01/30/2015Bedrooms: 0Square feet: 0Lot size: 0,1501 Filbert St APT 5C,2,2,1130,01/30/2015,1600000,37.799205,-122.424522,Cow Hollow,5,Condominium,2014,1729335,2134300,94123,124397816
5375,Address: 60 Turquoise Way,San FranciscoSales price: 1100000Sales date: 01/30/2015Bedrooms: 0Square feet: 1689Lot size: 5022,60 Turquoise Way,2,3,1689,01/30/2015,1100000,37.743988,-122.445854,Diamond Heights,6,SingleFamily,1964,1080551,1070100,94131,15198697
5376,Address: 1170 Sacramento Street #11A,San FranciscoSales price: 2600000Sales date: 01/29/2015Bedrooms: 0Square feet: 2027Lot size: 14529,1170 Sacramento St APT 11A,2,2,2027,01/29/2015,2600000,37.79293,-122.412195,Nob Hill,4,Condominium,1963,3153386,1440700,94108,15068046
