,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
10138,Address: 1500 Francisco Street #7,San FranciscoSales price: 855000Sales date: 01/27/2014Bedrooms: 1Square feet: 968Lot size: 4771,1500 Francisco St APT 7,1,1,968,01/27/2014,855000,37.802711,-122.430168,Marina,6,Condominium,1924,975795,2157700,94123,15070378
10139,Address: 3336 San Bruno Avenue #101,San FranciscoSales price: 315500Sales date: 01/27/2014Bedrooms: 1Square feet: 712Lot size: 7049,3336 San Bruno Ave APT 101,1,1,712,01/27/2014,315500,37.719493,-122.4008,Visitacion Valley,3,Condominium,1980,548181,690400,94134,15172744
10141,Address: 300 Ivy Street #203,San FranciscoSales price: 685000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 203,1,1,655,01/24/2014,685000,37.777362,-122.42324,Hayes Valley,3,Condominium,2014,843419,1202900,94102,123174819
10142,Address: 300 Ivy Street #404,San FranciscoSales price: 1087000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 404,2,2,938,01/24/2014,1087000,37.777362,-122.42324,Hayes Valley,4,Condominium,2014,1284182,1202900,94102,123174925
10143,Address: 300 Ivy Street #122,San FranciscoSales price: 1527000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 122,2,3,1596,01/24/2014,1527000,37.777362,-122.42324,Hayes Valley,5,Condominium,2014,1998482,1202900,94102,123174972
10150,Address: 616 20th Street #420,San FranciscoSales price: 755000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,616 20th St UNIT 420,1,1,770,01/24/2014,755000,37.760581,-122.387846,Central Waterfront - Dogpatch,4,Condominium,2013,847881,1124600,94107,123598012
10151,Address: 250 King Street #652,San FranciscoSales price: 1225000Sales date: 01/24/2014Bedrooms: 3Square feet: 1653Lot size: 213232,250 King St UNIT 652,2,3,1653,01/24/2014,1225000,37.777645,-122.39343,South of Market,5,Condominium,2004,1671936,957300,94107,69819527
10153,Address: 1080 Sutter Street #703,San FranciscoSales price: 652000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 703,1,2,750,01/24/2014,652000,37.788066,-122.418065,Downtown,3,Condominium,2014,804715,795400,94109,123174968
10154,Address: 1080 Sutter Street #803,San FranciscoSales price: 672500Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 803,1,3,750,01/24/2014,672500,37.788066,-122.418065,Downtown,4,Condominium,2014,861879,795400,94109,123175017
10155,Address: 1080 Sutter Street #502,San FranciscoSales price: 875000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 502,2,3,1330,01/24/2014,875000,37.788066,-122.418065,Downtown,5,Condominium,2014,1453647,795400,94109,123175049
10158,Address: 1080 Sutter Street #604,San FranciscoSales price: 975000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 604,2,3,1226,01/24/2014,975000,37.788066,-122.418065,Downtown,4,Condominium,2014,1363357,795400,94109,123175090
10159,Address: 1154 Chestnut Street,San FranciscoSales price: 4400000Sales date: 01/24/2014Bedrooms: 5Square feet: 3854Lot size: 1855,1154 Chestnut St,5,5,3854,01/24/2014,4400000,37.80271,-122.422409,Russian Hill,8,SingleFamily,1917,5563210,1608800,94109,15070529
10160,Address: 3380 22nd Street,San FranciscoSales price: 1060000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,3380 22nd St,1,3,1375,01/24/2014,1060000,37.755247,-122.422684,Mission,7,Condominium,1900,1372782,1167700,94110,122064110
10162,Address: 2594 39th Avenue,San FranciscoSales price: 650000Sales date: 01/24/2014Bedrooms: 0Square feet: 968Lot size: 1438,2594 39th Ave,2,3,1206,09/24/2014,925000,37.73853,-122.496647,Outer Parkside,5,SingleFamily,1943,1045836,982900,94116,15124027
10163,Address: 2446 17th Avenue,San FranciscoSales price: 908000Sales date: 01/24/2014Bedrooms: 0Square feet: 1175Lot size: 2996,2446 17th Ave,2,3,1175,01/24/2014,908000,37.74226,-122.473162,Inner Parkside,5,SingleFamily,1927,1348846,1304500,94116,15122796
10164,Address: 408 Waller Street,San FranciscoSales price: 925000Sales date: 01/24/2014Bedrooms: 2Square feet: 1000Lot size: 1800,408 Waller St,1,2,1000,01/24/2014,925000,37.771331,-122.430566,Hayes Valley,5,Condominium,1900,1080487,1202900,94117,89238397
10165,Address: 340 Cornwall Street,San FranciscoSales price: 1300000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,340 Cornwall St,2,2,1359,01/24/2014,1300000,37.784941,-122.462896,Inner Richmond,6,Condominium,2013,1411884,1679000,94118,122063949
10166,Address: 320 Cornwall Street,San FranciscoSales price: 1429000Sales date: 01/24/2014Bedrooms: 0Square feet: 0Lot size: 0,320 Cornwall St,2,3,1373,01/24/2014,1429000,37.784945,-122.46275,Inner Richmond,6,Condominium,2013,1468271,1679000,94118,122064019
10167,Address: 730 Funston Avenue,San FranciscoSales price: 3230000Sales date: 01/24/2014Bedrooms: 6Square feet: 5190Lot size: 6237,730 Funston Ave,4,5,5335,01/24/2014,3230000,37.774396,-122.470996,Inner Richmond,16,SingleFamily,1923,4134727,1679000,94118,15099033
10168,Address: 858 37th Avenue,San FranciscoSales price: 1250000Sales date: 01/24/2014Bedrooms: 5Square feet: 3059Lot size: 3000,858 37th Ave,3.5,6,3059,01/24/2014,1250000,37.772764,-122.496779,Outer Richmond,12,SingleFamily,1925,1703573,1187700,94121,15100052
10169,Address: 1490 7th Avenue,San FranciscoSales price: 1220000Sales date: 01/24/2014Bedrooms: 0Square feet: 1950Lot size: 2374,1490 7th Ave,1,3,1950,01/24/2014,1220000,37.76063,-122.463642,Inner Sunset,8,SingleFamily,1916,1823198,1348400,94122,15106067
10172,Address: 1062 Ingerson Avenue,San FranciscoSales price: 555000Sales date: 01/24/2014Bedrooms: 0Square feet: 1250Lot size: 2495,1062 Ingerson Ave,2,4,1806,01/24/2014,555000,37.719968,-122.393996,Bayview,8,SingleFamily,1935,724772,719000,94124,15154726
10173,Address: 698 Joost Avenue,San FranciscoSales price: 705000Sales date: 01/24/2014Bedrooms: 0Square feet: 862Lot size: 2500,698 Joost Ave,1,2,862,01/24/2014,705000,37.732482,-122.450964,Sunnyside,4,SingleFamily,1922,923568,1030800,94127,15138437
10174,Address: 169 Glenview Drive,San FranciscoSales price: 708000Sales date: 01/24/2014Bedrooms: 2Square feet: 833Lot size: 7875,169 Glenview Dr,1,2,833,01/24/2014,708000,37.749104,-122.447492,Midtown Terrace,5,SingleFamily,1951,1083163,1108400,94131,15133059
10175,Address: 8200 Oceanview Terrace #319,San FranciscoSales price: 400000Sales date: 01/24/2014Bedrooms: 1Square feet: 745Lot size: 325629,8200 Oceanview Ter APT 319,1,1,745,01/24/2014,400000,37.71048,-122.467645,Ingleside Heights,3,Condominium,2002,534475,688100,94132,67394643
10176,Address: 300 Berry Street #416,San FranciscoSales price: 685000Sales date: 01/24/2014Bedrooms: 1Square feet: 670Lot size: 41861,300 Berry St UNIT 416,1,1,670,01/24/2014,685000,37.773929,-122.39624,South of Market,3,MultiFamily2To4,2009,829843,957300,94158,96013857
10177,Address: 300 Ivy Street #303,San FranciscoSales price: 665000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 303,1,1,679,01/23/2014,665000,37.777362,-122.42324,Hayes Valley,3,Condominium,2014,863824,1202900,94102,123174953
10178,Address: 300 Ivy Street #413,San FranciscoSales price: 709000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 413,1,1,677,01/23/2014,709000,37.777362,-122.42324,Hayes Valley,3,Condominium,2014,869917,1202900,94102,123175042
10179,Address: 300 Ivy Street #402,San FranciscoSales price: 1094500Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 402,2,2,938,01/23/2014,1094500,37.777362,-122.42324,Hayes Valley,4,Condominium,2014,1286246,1202900,94102,123175142
10180,Address: 300 Ivy Street #126,San FranciscoSales price: 1567000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 126,2,3,1596,01/23/2014,1567000,37.777362,-122.42324,Hayes Valley,5,Condominium,2014,1930644,1202900,94102,123174871
10181,Address: 1352 Stevenson Street,San FranciscoSales price: 784000Sales date: 01/23/2014Bedrooms: 2Square feet: 925Lot size: 2475,1352 Stevenson St,1,2,925,01/23/2014,784000,37.77074,-122.421867,South of Market,5,Condominium,1907,947525,957300,94103,89237168
10183,Address: 1080 Sutter Street #403,San FranciscoSales price: 639000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 403,1,2,750,01/23/2014,639000,37.788066,-122.418065,Downtown,4,Condominium,2014,804715,795400,94109,123174728
10184,Address: 1080 Sutter Street #603,San FranciscoSales price: 642000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 603,1,2,750,01/23/2014,642000,37.788066,-122.418065,Downtown,3,Condominium,2014,805128,795400,94109,123175025
10185,Address: 1080 Sutter Street #302,San FranciscoSales price: 860000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 302,2,3,1330,01/23/2014,860000,37.788066,-122.418065,Downtown,4,Condominium,2014,1452151,795400,94109,123174934
10186,Address: 1080 Sutter Street #401,San FranciscoSales price: 910000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 401,2,3,1226,01/23/2014,910000,37.788066,-122.418065,Downtown,4,Condominium,2014,1363357,795400,94109,123174892
10187,Address: 1080 Sutter Street #1002,San FranciscoSales price: 967000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 1002,2,2,1330,01/23/2014,967000,37.788066,-122.418065,Downtown,4,Condominium,2014,1438953,795400,94109,123174955
10188,Address: 1080 Sutter Street #701,San FranciscoSales price: 1007000Sales date: 01/23/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 701,2,3,1225,01/23/2014,1007000,37.788066,-122.418065,Downtown,3,Condominium,2014,1366094,795400,94109,123174821
10190,Address: 3047 Fillmore Street #B,San FranciscoSales price: 735000Sales date: 01/23/2014Bedrooms: 1Square feet: 1164Lot size: 2500,3047 Fillmore St # B,1,1,1164,01/23/2014,735000,37.797695,-122.435905,Cow Hollow,4,Condominium,1907,1280150,2134300,94123,111925885
10192,Address: 3550 Market Street #501,San FranciscoSales price: 820000Sales date: 01/23/2014Bedrooms: 0Square feet: 1099Lot size: 11968,3550 Market St # 501,2,2,1099,01/23/2014,820000,37.75629,-122.441894,Twin Peaks,4,Condominium,1979,973585,1159200,94131,15130260
10194,Address: 300 Ivy Street #209,San FranciscoSales price: 1060000Sales date: 01/22/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 209,2,2,1032,01/22/2014,1060000,37.777362,-122.42324,Hayes Valley,4,Condominium,2014,1295297,1202900,94102,123174907
10195,Address: 300 Ivy Street #500,San FranciscoSales price: 1300000Sales date: 01/22/2014Bedrooms: 0Square feet: 0Lot size: 0,300 Ivy St APT 500,2,2,1075,01/22/2014,1300000,37.777362,-122.42324,Hayes Valley,4,MultiFamily2To4,2014,1287439,1202900,94102,123174982
10197,Address: 631 Folsom Street #18E,San FranciscoSales price: 990000Sales date: 01/22/2014Bedrooms: 2Square feet: 906Lot size: 38089,631 Folsom St APT 18E,2,2,931,01/22/2014,990000,37.784713,-122.396873,Yerba Buena,5,Condominium,2010,1236162,993200,94107,89240150
10199,Address: 1080 Sutter Street #503,San FranciscoSales price: 649000Sales date: 01/22/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 503,1,2,750,01/22/2014,649000,37.788066,-122.418065,Downtown,3,Condominium,2014,806738,795400,94109,123174828
10200,Address: 1080 Sutter Street #204,San FranciscoSales price: 877500Sales date: 01/22/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 204,2,3,1226,01/22/2014,877500,37.788066,-122.418065,Downtown,4,Condominium,2014,1360548,795400,94109,123175031
10201,Address: 1080 Sutter Street #602,San FranciscoSales price: 917000Sales date: 01/22/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 602,2,3,1330,01/22/2014,917000,37.788066,-122.418065,Downtown,4,Condominium,2014,1452151,795400,94109,123174765
10202,Address: 1080 Sutter Street #801,San FranciscoSales price: 1012500Sales date: 01/22/2014Bedrooms: 0Square feet: 0Lot size: 0,1080 Sutter St APT 801,2,3,1226,01/22/2014,1012500,37.788066,-122.418065,Downtown,4,MultiFamily2To4,2014,1360714,795400,94109,123174868
10203,Address: 3754 Cesar Chavez,San FranciscoSales price: 1065000Sales date: 01/22/2014Bedrooms: 0Square feet: 675Lot size: 1581,3754 Cesar Chavez,1,2,936,01/22/2014,1065000,37.748082,-122.423582,Mission,4,SingleFamily,1900,1146539,1167700,94110,15181852
10204,Address: 76 Museum Way,San FranciscoSales price: 718000Sales date: 01/22/2014Bedrooms: 2Square feet: 960Lot size: 0,76 Museum Way,2,2,960,01/22/2014,718000,37.764585,-122.440345,Corona Heights,5,Condominium,1961,1091273,1449300,94114,119639127
10205,Address: 231 Cole Street,San FranciscoSales price: 925000Sales date: 01/22/2014Bedrooms: 2Square feet: 1181Lot size: 2581,231 Cole St,1.5,2,1181,01/22/2014,925000,37.772816,-122.451179,North Panhandle,5,Condominium,1902,1118457,1211900,94117,59718404
10207,Address: 1622 Great Highway,San FranciscoSales price: 1265000Sales date: 01/22/2014Bedrooms: 3Square feet: 3571Lot size: 3000,1622-1626 Great Hwy,3,6,3691,01/22/2014,1265000,37.75604,-122.50851,Outer Sunset,12,Duplex,1908,1854131,1030300,94122,15108068
10209,Address: 616 20th Street #430,San FranciscoSales price: 760000Sales date: 01/21/2014Bedrooms: 0Square feet: 0Lot size: 0,616 20th St UNIT 430,1,2,760,01/21/2014,760000,37.760768,-122.387977,Central Waterfront - Dogpatch,4,Condominium,2013,841662,1124600,94107,123192378
